"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art der Maßnahme"
"",2010,BMZ,Afghanistan,Sektorprogramm Medienförderung,"79.420,00 €",2302/68541,zivil
"",2010,BMZ,Afghanistan,Unterstützung der Berufsbildungsreform in Afghanistan,"272.682,00 €",2302/68541,zivil
"",2010,BMZ,Afghanistan,Innovationsnetzwerk Südostasien für Berufsbildung und Nachhaltige Entwicklung,"3.862,00 €",2302/68541,zivil
"",2010,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"320.408,20 €",2302/68703,zivil
"",2010,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"146.441,25 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Grundlegende Versorgung im Bereich Trinkwasser und Sanitärversorgung und Abwassermanagement,"121.978,99 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Elektrizitätserzeugung/ erneuerbare Energien,"155.644,53 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Bildungseinrichtungen und Fortbildung,"298.622,95 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Medien und freier Informationsfluss,"128.762,92 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Berufliche Bildung,"531.718,29 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Wiederaufbauhilfe -und Wiederherstellungsmaßnahmen,"171.997,81 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"139.908,95 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Landwirtschaftliche Beratung,"94.555,10 €",2302/68740,zivil
"",2010,BMZ,Afghanistan,Kurse zur Förderung der Aus- und Weiterbildung von Frauen in der Region Andkhoi / Afghanistan,"7.483,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Überdachung von vorhandenen, von VUSAF gebauten Wasserbecken in Nord Afghanistan","21.450,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,Unterstützung des VUSAF Education Center in Andkhoi/ Afghanistan,"55.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Unterstützung zu den laufenden Kosten der Klinik WAZIR AKBAR KHAN in Kabul, Afghanistan","97.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Unterstützung des Irene Salimi Kinderhospitals in Kabul, Afghanistan","150.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Fortführung des Integrierten Schul- und Alphabetisierungsprojekts in Kabul und den Provinzen Wardak, Logar und Pandschir","263.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,Kurse zur Förderung der Aus- und Weiterbildung von Frauen in der Region Andkhoi / Afghanistan,"26.906,75 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Schaffung von Klassenräumen für eine Mittelschule für Jungen und Mädchen in Qipchok, Bezirk Andkhoi (Klassen 1 bis 9)","99.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,Alphabetisierung für Frauen und Mädchen in Jaghori/Hazarajat,"10.700,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,Unterstützung der Werkstatt des 'German Medical Service' in Kabul,"126.500,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,"Landwirtschaftliche Entwicklung und einkommenschaffende Maßnahmen in Behsud, Wardak Provinz","60.000,00 €",2302/89604,zivil
"",2010,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"8.829,81 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Elektrizitätserzeugung/ erneuerbare Energien,"9.384,73 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Bildungseinrichtungen und Fortbildung,"18.005,74 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Medien und freier Informationsfluss,"7.763,88 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Berufliche Bildung,"32.060,43 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Wiederaufbauhilfe -und Wiederherstellungsmaßnahmen,"10.370,76 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"8.435,94 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Landwirtschaftliche Beratung,"5.701,28 €",2302/89640,zivil
"",2010,BMZ,Afghanistan,Wasserversorgung Kunduz,"19.506,46 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Übertragungsleitung Heiratan - Pul-e-Khumri,"1.824.286,22 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Rehabilitierung der Wasserkraftwerke Mahipar und Sarobi - (Keine Vorschläge) -,"316.344,30 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"711.721,22 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden,"2.415.428,72 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Wasserversorgung Nördliche Klein- und Mittelstädte,"505.431,27 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,"Wiederaufbau wirtschaftliche Infrastruktur im Norden, Ländliche Infrastruktur Nordafghanistan","2.599.205,75 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Nationales Bildungsprogramm EQUIP II,"10.000.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden Phase III,"150.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Aufbau wirtschaftlicher Infrastruktur im Norden Phase IV,"400.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Programm Berufliche Schulen Nordafghanistan,"500.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,EQUIP II - Beitrag 2010 zum National Basic Education Programme im Rahmen des ARTF,"18.000.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Afghanistan Reconstruction Trust Fund X (ARTF X),"30.000.000,00 €",86611/89611,zivil
"",2010,BMZ,Afghanistan,Bildungsarbeit und Zivile Konfliktbearbeitung für gerechten und dauerhaften Frieden,"984.440,00 €",2302/68702,zivil
"",2010,BMVg,Afghanistan,Projekt „Provinzentwicklungsfonds in Nordost-Afghanistan“ (Federführendes Ressort: BMZ),"1.000.000,00 €",1403 547 81,militärisch
"",2010,BMVg,Afghanistan,Abgabe von Sanitätsgerät nach Epl 14 Kapitel 1407 Einnahmen Haushaltsvermerk Nr.12,"14.570,00 €",132 01,zivil
"",2011,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"115.297,10 €",0502 68779,zivil
"",2011,AA,Afghanistan,Kampfmittelbeseitigung,"800.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Humanitäre Hilfe und humanitäres Minenräumen,"3.300.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Menschenrechte und Demokratisierung,"300.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Drogenbekämpfung,"280.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Aufbau der afghanischen Polizei,"80.693.985,00 €",0502 68779,polizeilich
"",2011,AA,Afghanistan,Kultur- und Medienförderung in Afghanistan,"370.877,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Hochschulkooperation,"2.800.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Schul- und Sportförderung,"701.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung PRT Faisabad,"1.531.385,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,"Gesundheit KfW: Rehabilitierung Balkh Krankenhaus, Masar-e-Sharif","2.100.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung RC North: Gesundheitsmanagement Balkh Krankenhaus,"917.953,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,"Erwachsenenbildung, insbesondere Alphabetisierung","745.356,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung Infrastrukturprogramm Nordafghanistan,"5.497.938,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung PRT Kundus,"753.215,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung/ Gesundheit: Basisgesundheitsversorgung auf Gemeindeebene in Nordafghanistan,"7.553.123,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung PRTs: Stabilisierungsprogramm Nordafghanistan,"14.113.216,04 €",0502 68779,zivil
"",2011,AA,Afghanistan,Beitrag zum Provincial Development Fund (PDF),"1.000.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Umfeldstabilisierung/ Gesundheit: Rehabilitierung Provinzkrankenhäuser Nordafghanistan,"5.000.461,36 €",0502 68779,zivil
"",2011,AA,Afghanistan,Förderung der Zivilgesellschaft: Konferenzen zu einer sicheren und unabhängigen Afghanistan,"731.134,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Unterstützung Aufbau afghanisches Rechtssystem,"1.789.691,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Capacity Building: Förderung afghanischer Fach- und Führungskräfte,"57.997,50 €",0502 68779,zivil
"",2011,AA,Afghanistan,Berufliche Bildung/Schwerpunkt Süd-Afghanistan: Rehabilitierung der Technischen Schule Kandahar,"273.718,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Berufliche Bildung/Schwerpunkt Süd-Afghanistan: Technische Schule Khost,"17.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,EZ-Risikomanagementsystem Afghanistan,"1.340.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,"Berufliche Bildung/ Umfeldstabilisierung RC North, PRT Kundus, Faisabad","510.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Governance /Aufbau staatlicher Institutionen: Verwaltungsakademie,"564.223,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,Pakistan - Afghanistan - Tadschikistan Regionales Integrationsprogramm (PATRIP),"15.364.250,70 €",0502 68779,zivil
"",2011,AA,Afghanistan,Stärkung von Verwaltungsstrukturen,"407.000,00 €",0502 68779,zivil
"",2011,AA,Afghanistan,G8 Dialoginitiative Afghanistan - Pakistan,"520.000,00 €",0502 68779,zivil
"",2011,BMZ,Afghanistan,Wiederherstellung und Stabilisierung der Lebensgrundlagen,"1.443.753,49 €",2301/68706,zivil
"",2011,BMZ,Afghanistan,Neuauflage Provinzentwicklungsfonds zur Unterstützung des Wiederaufbaus in Nordostafghanistan,"2.718.007,00 €",2301/68706,zivil
"",2011,BMZ,Afghanistan,Aufbau und Stärkung der Katastrophenvorsorge- und Managementstruktur,"1.080.832,06 €",2301/68706,zivil
"",2011,BMZ,Afghanistan,Wiederherstellung und Stabilisierung der Lebensgrundlagen in Nordost-Afghanistan,"2.207.169,20 €",2301/68706,zivil
"",2011,BMZ,Afghanistan,Förderung von Betreiberstrukturen der Trinkwasserver- und Abwasserentsorgung in den Provinzen,"12.765,50 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Unterstützung internat. Programme im Bereich der politischen und wirtschaftlichen Regierungsführung,"38,63 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Gender Mainstreaming,"69,00 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Aufbau von Basisinfrastruktur und Schaffung von Einkommen in ländlichen Regionen,"13.199.191,02 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Aufbau von Basisinfrastruktur und Schaffung von Einkommen in ländlichen Regionen Süd-Ost-Afghanistans,"552.488,04 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Förderung der Beruflichen Bildung,"169.039,10 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,EZ-Sicherheitssystem,"9.205.283,62 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"4.798.217,85 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Gender Mainstreaming,"1.402.738,24 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Programm Förderung der Grundbildung,"4.883.866,10 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"5.292.565,96 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Politikberatungsfonds,"20.961,31 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Diversifizierung der Landwirtschaft in der Provinz Baghlan,"1.110.934,96 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Förderung der Beruflichen Bildung,"3.696.258,08 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Offener Politikberatungsfonds,"1.693.703,17 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Programm zur Verbesserung der Wasserversorgung,"7.021.649,15 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Regionaler Strukturentwicklungsfonds Nordafghanistan,"7.336.603,05 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Programm zur nachhaltigen Wirtschaftsentwicklung im Norden und in Kabul,"7.000.000,00 €",2301/89603,zivil
"",2011,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"205.706,88 €",2302/68703,zivil
"",2011,BMZ,Afghanistan,"Friedenszentrum für die Zivilgesellschaft in Mazar-e-Sharif, Afghanistan","108.810,38 €",2302/68776,zivil
"",2011,BMZ,Afghanistan,"Sanierung der undichten durchlässigen Dächer des Waisenhauses Save Afghan Children in Kabul und Bau einer Dachterrasse, Kabul, DaschteBartschi, Mahtab-Qala, Afghanistan (NRO-Faz. AFG)","21.956,00 €",2302/68776,zivil
"",2011,BMZ,Afghanistan,"Unterstützung zu den laufenden Kosten der Klinik WAZIR AKBAR KHAN in Kabul, Afghanistan","96.100,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,"Unterstützung des Irene Salimi Kinderhospitals in Kabul, Afghanistan","287.545,38 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,"Fortführung des Integrierten Schul- und Alphabetisierungsprojekts in Kabul und den Provinzen Wardak, Logar und Pandschir","37.000,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,Kurse zur Förderung der Aus- und Weiterbildung von Frauen in der Region Andkhoi / Afghanistan,"48.928,28 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,Alphabetisierung für Frauen und Mädchen in Jaghori/Hazarajat,"25.200,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,Unterstützung der Werkstatt des 'German Medical Service' in Kabul,"105.000,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,"Landwirtschaftliche Entwicklung und einkommenschaffende Maßnahmen in Behsud, Wardak Provinz","157.000,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,Elementare Schulbildung für Kinder und Frauen in Kabul und einigen ländlichen Provinzen,"230.000,00 €",2302/89604,zivil
"",2011,BMZ,Afghanistan,Rehabilitierung der Wasserkraftwerke Mahipar und Sarobi - (Keine Vorschläge) -,"98.593,35 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"109.453,23 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden,"3.095.429,79 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Wasserversorgung Nördliche Klein- und Mittelstädte,"1.032.698,13 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,"Wiederaufbau wirtschaftliche Infrastruktur im Norden, Ländliche Infrastruktur Nordafghanistan","3.858.453,80 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden Phase III,"579.971,46 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Aufbau wirtschaftlicher Infrastruktur im Norden Phase IV,"2.329.424,73 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Programm Berufliche Schulen Nordafghanistan,"278.309,44 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Netzanbindung nördliche Städte und Gemeinden,"2.828.864,85 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Nationalstraße Kunduz - Kholm Phase I,"1.288.700,00 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Städtische Wasserversorgg. in Nord-Afgh,"3.206.691,38 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Afghanistan Reconstruction Trust Fund XI (ARTF XI),"40.000.000,00 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,EQUIP II - Beitrag zum National Basic Education Programme (ARTF) - Tranche 4,"20.000.000,00 €",86611/89611,zivil
"",2011,BMZ,Afghanistan,Bildungsarbeit und Zivile Konfliktbearbeitung für gerechten und dauerhaften Frieden,"1.107.504,00 €",2302/68702,zivil
"",2011,BMVg,Afghanistan,Projekt „Provinzentwicklungsfonds in Nordost-Afghanistan“ (Federführendes Ressort: BMZ),"1.000.000,00 €",1403 547 81,militärisch
"",2011,BMVg,Afghanistan,Abgabe von Sanitätsgerät nach Epl 14 Kapitel 1407 Einnahmen Haushaltsvermerk Nr.12,"22.747,00 €",132 01,zivil
"",2012,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"120.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Kampfmittelbeseitigung,"1.029.126,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Humanitäre Hilfe und humanitäres Minenräumen,"14.071.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Drogenbekämpfung,"790.321,75 €",0502 68779,zivil
"",2012,AA,Afghanistan,Aufbau der afghanischen Polizei,"67.000.000,00 €",0502 68779,polizeilich
"",2012,AA,Afghanistan,Kultur- und Medienförderung in Afghanistan,"2.029.326,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Hochschulkooperation,"3.210.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Schul- und Sportförderung,"416.135,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierungsprojekte PRT Faisabad,"671.286,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung / Gesundheit: Krankenhaus Faisabad,"1.378.489,85 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung RC North: Balkh Krankenhaus,"515.994,53 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung RC North: Gesundheitsmanagement Balkh Krankenhaus,"1.297.516,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,"Erwachsenenbildung, insbesondere Alphabetisierung","834.048,36 €",0502 68779,zivil
"",2012,AA,Afghanistan,Infrastrukturprogramm Nordafghanistan,"3.800.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierungsmaßnahme PRT Kundus/Taloqan,"988.323,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung/ Gesundheit: Basisgesundheitsversorgung auf Gemeindeebene in Nordafghanistan,"6.468.870,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung PRTs: Stabilisierungsprogramm Nordafghanistan,"21.909.168,99 €",0502 68779,zivil
"",2012,AA,Afghanistan,Förderung der Zivilgesellschafft: Konferenzen zu einem sicheren und unabhängigen Afghanistan,"1.000.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Umfeldstabilisierung/ Gesundheit: Rehabilitierung Provinzkrankenhäuser Nordafghanistan,"2.407.250,88 €",0502 68779,zivil
"",2012,AA,Afghanistan,Unterstützung Aufbau afghanisches Rechtssystem,"1.181.573,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Verbesserung der psychosozialen Versorgung im afghanischen Gesundheitswesen,"642.573,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Projekt zur Stärkung von Frauenrechten,"220.437,56 €",0502 68779,zivil
"",2012,AA,Afghanistan,"Stärkung der wirtschaftlichen und sozialen Stellung von Frauen, Panjshir","10.000.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,EZ-Risikomanagementsystem Afghanistan,"5.136.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Wahlprozessorganisation und Anti-Korruptionsmaßnahmen,"70.588,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,ELECT II,"4.000.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Aufbau afghanischer Verwaltungsakademie,"1.840.000,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Stärkung der wirtschaftlichen und sozialen Stellung von Frauen,"487.830,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Vorbereitung der Wahlen über die Zivilgesellschaft (FEFA),"5.608.060,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Stärkung von Verwaltungsstrukturen,"682.140,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Media Development in Tribal Belt Afghanistan und Pakistan-PAK,"577.600,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Capacity Building im öffentlichen Dienst: Programm integrierte Fachkräfte für Afghanistan; CIM,"3.528.051,00 €",0502 68779,zivil
"",2012,AA,Afghanistan,Strafrechtsbeistand in Afghanistan,"194.221,60 €",0502 68779,zivil
"",2012,BMZ,Afghanistan,Wiederherstellung und Stabilisierung der Lebensgrundlagen,"1.108.828,11 €",2301/68706,zivil
"",2012,BMZ,Afghanistan,Neuauflage Provinzentwicklungsfonds zur Unterstützung des Wiederaufbaus in Nordostafghanistan,"1.432.242,75 €",2301/68706,zivil
"",2012,BMZ,Afghanistan,Aufbau und Stärkung der Katastrophenvorsorge- und Managementstruktur,"809.281,42 €",2301/68706,zivil
"",2012,BMZ,Afghanistan,Wiederherstellung und Stabilisierung der Lebensgrundlagen in Nordost-Afghanistan,"2.657.778,18 €",2301/68706,zivil
"",2012,BMZ,Afghanistan,Unterstützung internat. Programme im Bereich der politischen und wirtschaftlichen Regierungsführung,"2.440,49 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"14.428,17 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm Förderung der Grundbildung,"1.948,26 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Gender Mainstreaming,"24.501,94 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"69.448,53 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm für nachhaltige Wirtschaftsentwicklung Kabul,"181,90 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Aufbau von Basisinfrastruktur und Schaffung von Einkommen in ländlichen Regionen,"4.419.034,24 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,"Sicherheitssystem für GTZ, DED, InWEnt und KfW","59.391,85 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Aufbau von Basisinfrastruktur und Schaffung von Einkommen in ländlichen Regionen Süd-Ost-Afghanistans,"178.639,30 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Förderung der Beruflichen Bildung,"16.247,43 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,EZ-Sicherheitssystem,"8.822.032,82 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"3.000.000,00 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Gender Mainstreaming,"625.757,81 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm Förderung der Grundbildung,"4.745.941,15 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"4.654.659,46 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Politikberatungsfonds,"9.579,51 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Diversifizierung der Landwirtschaft in der Provinz Baghlan,"2.435.563,42 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Förderung der Beruflichen Bildung,"7.329.202,31 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Offener Politikberatungsfonds,"1.673.127,21 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Regionaler Strukturentwicklungsfonds Nordafghanistan,"14.494.815,65 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Programm zur nachhaltigen Wirtschaftsentwicklung im Norden und in Kabul,"8.000.000,00 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"4.457.393,88 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Stärkung von ländlichen Livelihood Systemen,"6.999.999,99 €",2301/89603,zivil
"",2012,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"90.388,74 €",2302/68703,zivil
"",2012,BMZ,Afghanistan,"Friedenszentrum für die Zivilgesellschaft in Mazar-e-Sharif, Afghanistan","160.574,59 €",2302/68776,zivil
"",2012,BMZ,Afghanistan,Schaffung von Schutzräumen für durch Krieg und Vertreibung traumatisierte Kinder und Jugendliche,"451.163,50 €",2302/68776,zivil
"",2012,BMZ,Afghanistan,Schulbauprojekt Sholgara Distrikt 2012/2013,"59.500,00 €",2302/68776,zivil
"",2012,BMZ,Afghanistan,"Unterstützung des Irene Salimi Kinderhospitals in Kabul, Afghanistan","12.296,90 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Kurse zur Förderung der Aus- und Weiterbildung von Frauen in der Region Andkhoi / Afghanistan,"54.002,71 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Alphabetisierung für Frauen und Mädchen in Jaghori/Hazarajat,"18.500,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Unterstützung der Werkstatt des 'German Medical Service' in Kabul,"106.000,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,"Landwirtschaftliche Entwicklung und einkommenschaffende Maßnahmen in Behsud, Wardak Provinz","205.000,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Elementare Schulbildung für Kinder und Frauen in Kabul und einigen ländlichen Provinzen,"441.000,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Unterstützung für den Betrieb der Klinik WAZIR AKBAR KHAN in Kabul,"130.500,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,"Sanierung/Erweiterung eines Jungengymnasiums in Jaghori/Hazarajat, Provinz Ghazni, Afghanistan","40.000,00 €",2302/89604,zivil
"",2012,BMZ,Afghanistan,Übertragungsleitung Heiratan - Pul-e-Khumri,"175.713,78 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Programm Dezentrale Stromversorgung durch Erneuerbare Energien,"3.246.828,27 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden,"848.968,23 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Wasserversorgung Nördliche Klein- und Mittelstädte,"3.392.734,43 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,"Wiederaufbau wirtschaftliche Infrastruktur im Norden, Ländliche Infrastruktur Nordafghanistan","230.114,10 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Wiederaufbau wirtschaftliche Infrastruktur im Norden Phase III,"2.101.250,97 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Aufbau wirtschaftlicher Infrastruktur im Norden Phase IV,"6.592.364,00 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Programm Berufliche Schulen Nordafghanistan,"2.305.553,84 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Netzanbindung nördliche Städte und Gemeinden,"2.817.696,48 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Nationalstraße Kunduz - Kholm Phase I,"3.337.040,81 €",86611/89611,zivil
"",2012,BMZ,Afghanistan,Städtische Wasserversorgg. in Nord-Afgh,"3.965.752,80 €",86611/89611,zivil
