"",Jahr,Ressort,Land,Projekt,Volumen,Haushaltstitel,"Art derMaßnahme"
"",2006,AA,Afghanistan,Kultur- und Medienförderung in Afghanistan,"1.731.614,00 €",2302 89603,zivil
"",2006,AA,Afghanistan,Hochschulkooperation,"1.996.534,00 €",2302 89603,zivil
"",2006,AA,Afghanistan,Schul- und Sportförderung,"554.600,00 €",2302 89603,zivil
"",2006,AA,Afghanistan,Förderung des Islamdialogs,"1.859.213,07 €",2302 89603,zivil
"",2006,AA,Afghanistan,Eingangsausbildung Richterausbildung Oberster Gerichtshof,"274.621,00 €",2302 89603,zivil
"",2006,AA,Afghanistan,Beratung AFG Außenministerium Regionalinitiative und Organisation,"8.692,65 €",2302 89603,zivil
"",2006,AA,Afghanistan,UNDP: Ausbildung Fach- und Führungskräfte Afghanistans,"298.089,96 €",2302 89603,zivil
"",2006,AA,Afghanistan,Außenstelle Kundus: Förderung der Zusammenarbeit mit wichtigen lokalen Glaubensgemeinschaften,"59.351,82 €",2302 89603,zivil
"",2006,AA,Afghanistan,Zadran Arc Stabilization Initiative / Development  & Rehabilitation Agency for AFG,"411.190,03 €",2302 89603,zivil
"",2006,AA,Afghanistan,Basisinfrastruktur zur Stabilisierung,"1.340.500,00 €",2302 89603,zivil
"",2006,AA,Afghanistan,Community Building mit Maßnahmen im Bereich Gesundheitsversorgung,"192.241,37 €",2302 89603,zivil
"",2006,BMZ,Afghanistan,Erneuerbare Energien u. Energieeffizienz in ländlichen Regionen,"220.047,86 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Förderung von Betreiberstrukturen der Trinkwasserver- und Abwasserentsorgung in den Provinzen,"402.046,17 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Programm Förderung der Grundbildung,"1.155.238,89 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Unterstützung internat. Programme im Bereich der politischen und wirtschaftlichen Regierungsführung,"2.260.318,27 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Reform des Wassersektors,"149.085,70 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Förderung der Rechtsstaatlichkeit,"449.573,15 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Exportförderung und WTO-Beitritt,"2.504,92 €",2301/89603,zivil
"",2006,BMZ,Afghanistan,Psychosoziale Beratung und Betreuung von Kriegsopfern in Afghanistan,"336.225,65 €",2302/68703,zivil
"",2006,BMZ,Afghanistan,Politischer Dialog und Institutionenförderung in Pakistan und Afghanistan,"731.770,21 €",2302/68704,zivil
"",2006,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"310.546,25 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Berufliche Bildung,"494.113,58 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Dienstleistungen und Institutionen zur Unterstützung der Privatwirtschaft,"318.827,48 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Grundlegende Versorgung im Bereich Trinkwasser und Abwasser,"100.755,00 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Elektrizitätserzeugung/ erneuerbare Energien,"100.755,00 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Bildungseinrichtungen und Fortbildung,"67.630,07 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,"Zivile Friedensentwicklung, Krisenprävention und Konfliktlösung","217.796,43 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Freier Informationsfluss,"192.952,73 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Leistungen an lokale und regionale NRO,"63.700,06 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,"Radio, Fernsehen und Printmedien","43.406,05 €",2302/68740,zivil
"",2006,BMZ,Afghanistan,Wasserversorgung Kunduz,"1.359.663,02 €",86611/89611,zivil
"",2006,BMZ,Afghanistan,Unterstützung zu Vorhaben des ARTF IV,"15.000.000,00 €",86611/89611,zivil
"",2006,BMZ,Afghanistan,Bildungsarbeit und Zivile Konfliktbearbeitung für gerechten und dauerhaften Frieden,"916.780,00 €",2302/68702,zivil
"",2006,BMVg,Afghanistan,Projekt „Provinzentwicklungsfonds in Nordost-Afghanistan“ (Federführendes Ressort: BMZ),"700.000,00 €",1402 687 01,militärisch
"",2006,BMVg,Afghanistan,Abgabe von Sanitätsgerät nach Epl 14 Kapitel 1407 Einnahmen Haushaltsvermerk Nr.12,"51.223,00 €",132 01,zivil
"",2006,BKA,Afghanistan,"Lehrgang ""Rauschgift - Basis""","42.082,00 €",k.A.,polizeilich
"",2006,BKA,Afghanistan,"Lehrgang ""Rauschgiftmultiplikatoren""","18.789,00 €",k.A.,polizeilich
"",2007,AA,Afghanistan,Lehrgang für afghanische Diplomaten,"113.312,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Kampfmittelbeseitigung,"1.216.029,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Humanitäre Hilfe und humanitäres Minenräumen,"3.399.948,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Menschenrechte und Demokratisierung,"438.020,00 €",2302 89603,zivil
"",2007,AA,Afghanistan,Aufbau der afghanischen Polizei,"13.022.719,00 €",2302 89603,polizeilich
"",2007,AA,Afghanistan,Förderung des Aufbaus von Wirtschaftsstrukturen,"251.010,00 €",2302 89603,zivil
